view_id,job_id,split,participants,cfp_macro_f1,cfp_macro_precision,cfp_macro_recall,cfp_accuracy,cfp_confusion_matrix,cfp_class_support,cfp_log_loss,cfp_auroc,cfp_brier_binary,oct_macro_f1,oct_macro_precision,oct_macro_recall,oct_accuracy,oct_confusion_matrix,oct_class_support,oct_log_loss,oct_auroc,oct_brier_binary,fixed_probability_fusion_macro_f1,fixed_probability_fusion_macro_precision,fixed_probability_fusion_macro_recall,fixed_probability_fusion_accuracy,fixed_probability_fusion_confusion_matrix,fixed_probability_fusion_class_support,fixed_probability_fusion_log_loss,fixed_probability_fusion_auroc,fixed_probability_fusion_brier_binary,branch_mean_macro_f1
03ee85e22ee429b1a48f8fddbac7d3b3111cd2b3ea242b90c6e695047ffe3d63,03ee85e22ee429b1a48f8fddbac7d3b3111cd2b3ea242b90c6e695047ffe3d63,development,296,0.668903803131991,0.6689497716894977,0.6689189189189189,0.668918918918919,"[[98, 50], [48, 100]]","[148, 148]",0.9324178618684056,0.7006482834185537,0.26285539630720245,0.6513545347467609,0.6532091097308488,0.652027027027027,0.652027027027027,"[[103, 45], [58, 90]]","[148, 148]",1.1492943787468952,0.6917001460920379,0.28227460370562996,0.7059166124224879,0.7065431251429879,0.7060810810810811,0.706081081081081,"[[108, 40], [47, 101]]","[148, 148]",0.6758155158203725,0.7575785244704165,0.20770928093282298,0.660129168939376
9caab7c646597ddf42a77b627f9e562f89972cdd465055326fb82cc2359459ad,9caab7c646597ddf42a77b627f9e562f89972cdd465055326fb82cc2359459ad,development,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981
0664f187c40493708fe08b937d7d300b6ccec628a7e0befe134c55299c1ad6d7,0664f187c40493708fe08b937d7d300b6ccec628a7e0befe134c55299c1ad6d7,development,296,0.6587798892883638,0.6587910331918002,0.6587837837837838,0.6587837837837838,"[[98, 50], [51, 97]]","[148, 148]",1.1893489453349242,0.6984112490869248,0.27750285694601773,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[96, 52], [54, 94]]","[148, 148]",1.3959063887945375,0.6615686632578526,0.30768892077363064,0.6855200776832124,0.6865004811437474,0.6858108108108107,0.6858108108108109,"[[106, 42], [51, 97]]","[148, 148]",0.7716415718429044,0.7324689554419285,0.22256635090433152,0.650327715725769
726d1228d98e15947a81e62b1c0ee11b0259aa19ea4e7a6ee154d9f195e9b3b5,726d1228d98e15947a81e62b1c0ee11b0259aa19ea4e7a6ee154d9f195e9b3b5,development,296,0.668903803131991,0.6689497716894977,0.6689189189189189,0.668918918918919,"[[98, 50], [48, 100]]","[148, 148]",0.9324178618684056,0.7006482834185537,0.26285539630720245,0.6513545347467609,0.6532091097308488,0.652027027027027,0.652027027027027,"[[103, 45], [58, 90]]","[148, 148]",1.1492943787468952,0.6917001460920379,0.28227460370562996,0.7059166124224879,0.7065431251429879,0.7060810810810811,0.706081081081081,"[[108, 40], [47, 101]]","[148, 148]",0.6758155158203725,0.7575785244704165,0.20770928093282298,0.660129168939376
240835677c86725334a1c22d1b068afe38987bbaa73f0c067c3b3f2417fcc556,240835677c86725334a1c22d1b068afe38987bbaa73f0c067c3b3f2417fcc556,development,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981
00c9527887ac3ff192f6c3e9997d847df7ca2f90882171c29d9dafd6a0f5d683,00c9527887ac3ff192f6c3e9997d847df7ca2f90882171c29d9dafd6a0f5d683,development,296,0.6683738796414853,0.6700367647058824,0.6689189189189189,0.668918918918919,"[[105, 43], [55, 93]]","[148, 148]",1.516152542169673,0.689508765522279,0.29583735729962224,0.641744690568623,0.6421254801536491,0.6418918918918919,0.6418918918918919,"[[98, 50], [56, 92]]","[148, 148]",1.6219807851673078,0.6765430971512052,0.31241918405314606,0.6923955371315678,0.6929993136582018,0.6925675675675675,0.6925675675675675,"[[106, 42], [49, 99]]","[148, 148]",0.9086577963568088,0.7299579985390796,0.23238001769400463,0.6550592851050542
7e9881d87fae1f90282bfcffcacf2b6e4e22e38442c7196713566ac1dad965b7,7e9881d87fae1f90282bfcffcacf2b6e4e22e38442c7196713566ac1dad965b7,development,296,0.7060508863446985,0.7061657912765471,0.7060810810810811,0.706081081081081,"[[106, 42], [45, 103]]","[148, 148]",1.1697289516821898,0.7492238860482103,0.2492843018051648,0.6621004566210045,0.6622807017543859,0.6621621621621622,0.6621621621621622,"[[100, 48], [52, 96]]","[148, 148]",1.8101222501951628,0.6799214755295836,0.3061257960304519,0.6721139241951877,0.6726835964310227,0.6722972972972974,0.6722972972972973,"[[96, 52], [45, 103]]","[148, 148]",0.8943102957443866,0.7473064280496713,0.22465975087683657,0.6840756714828515
5c9d2393f9a89573d6ab57b95a23f2dc63d6b8666f46a1f65c58aa1c5be534d2,5c9d2393f9a89573d6ab57b95a23f2dc63d6b8666f46a1f65c58aa1c5be534d2,development,296,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[96, 52], [55, 93]]","[148, 148]",1.0895626288614289,0.6638056975894813,0.29553710871228117,0.641875542163174,0.6419178082191781,0.6418918918918919,0.6418918918918919,"[[94, 54], [52, 96]]","[148, 148]",1.7279395690703845,0.6468681519357194,0.3252650593357487,0.6384763774584223,0.6385704498744005,0.6385135135135136,0.6385135135135135,"[[93, 55], [52, 96]]","[148, 148]",0.803161644318559,0.6963568298027757,0.24084937779383492,0.6401759598107981
658665e06ee6ed4a13da0bcbd0fdaf9db243fcd7432e70f13204cb9db1092109,658665e06ee6ed4a13da0bcbd0fdaf9db243fcd7432e70f13204cb9db1092109,development,296,0.6667279411764706,0.6734808702175544,0.6689189189189189,0.668918918918919,"[[87, 61], [37, 111]]","[148, 148]",1.3978894074303831,0.7309623813002191,0.2852134630800302,0.6747252747252748,0.6777531411677753,0.6756756756756757,0.6756756756756757,"[[108, 40], [56, 92]]","[148, 148]",1.8619082026660045,0.6922936449963477,0.29390449145005365,0.6858072247902756,0.6858192941606173,0.6858108108108107,0.6858108108108109,"[[102, 46], [47, 101]]","[148, 148]",0.9619523542788073,0.7436541271000731,0.22628579606423033,0.6707266079508727
1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,1dbc6762e6f18dd4d362fe11ef1f08e571ae863d22c0ace7f1784e11edd3c130,development,296,0.6957236842105263,0.6965201465201465,0.695945945945946,0.6959459459459459,"[[107, 41], [49, 99]]","[148, 148]",1.1991940794085714,0.7677136596055515,0.2475756908123597,0.6921424081376079,0.6936372400495799,0.6925675675675675,0.6925675675675675,"[[108, 40], [51, 97]]","[148, 148]",1.6205941429506219,0.727150292184076,0.2721080270441184,0.7023629964806435,0.7036323610346725,0.7027027027027027,0.7027027027027027,"[[109, 39], [49, 99]]","[148, 148]",1.057993119147674,0.7610025566106647,0.22663350298000093,0.6939330461740671
